launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
16869,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_rec_cart_ea.json,TLE,0.00,2022-04-09 16:40:59,89.10416667,,,
16879,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_rec_cart_ga.json,TLE,0.00,2022-04-09 16:55:35,89.10416667,,,
16849,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_rec_rbs_ea.json,PASSED,0.00,2022-04-09 16:17:04,26.4375,,,
16859,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_rec_rbs_ga.json,PASSED,0.00,2022-04-09 16:27:52,35.25,,,
16829,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_sing_cart_ea.json,TLE,0.00,2022-04-09 15:53:15,89.10416667,,,
16839,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_sing_cart_ga.json,TLE,0.00,2022-04-09 16:06:06,89.10416667,,,
16809,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_sing_rbs_ea.json,PASSED,0.00,2022-04-09 15:28:52,60.70833333,,,
16819,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p31-1_sing_rbs_ga.json,TLE,0.00,2022-04-09 15:40:38,89.10416667,,,
16949,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_rec_cart_ea.json,PASSED,0.00,2022-04-09 18:02:03,38.1875,,,
16959,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_rec_cart_ga.json,PASSED,0.00,2022-04-09 18:14:51,70.5,,,
16929,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_rec_rbs_ea.json,PASSED,0.00,2022-04-09 17:41:17,32.3125,,,
16939,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_rec_rbs_ga.json,PASSED,0.00,2022-04-09 17:51:06,17.625,,,
16909,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_sing_cart_ea.json,TLE,0.00,2022-04-09 17:21:19,89.10416667,,,
16919,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_sing_cart_ga.json,TLE,0.00,2022-04-09 17:31:31,89.10416667,,,
16889,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_sing_rbs_ea.json,TLE,0.00,2022-04-09 17:05:49,89.10416667,,,
16899,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_p6-5_sing_rbs_ga.json,PASSED,0.00,2022-04-09 17:12:56,49.9375,,,
17029,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_rec_cart_ea.json,PASSED,0.00,2022-04-09 19:17:29,55.8125,,,
17039,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_rec_cart_ga.json,TLE,0.00,2022-04-09 19:29:42,89.10416667,,,
17009,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_rec_rbs_ea.json,PASSED,0.00,2022-04-09 18:56:18,26.4375,,,
17019,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_rec_rbs_ga.json,TLE,0.00,2022-04-09 19:06:58,89.10416667,,,
16989,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_sing_cart_ea.json,TLE,0.00,2022-04-09 18:40:32,89.10416667,,,
16999,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_sing_cart_ga.json,TLE,0.00,2022-04-09 18:49:32,89.10416667,,,
16969,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_sing_rbs_ea.json,TLE,0.00,2022-04-09 18:22:32,89.10416667,,,
16979,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ps6-5_sing_rbs_ga.json,PASSED,0.00,2022-04-09 18:31:07,30.35416667,,,
16629,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_s1-32_rec_cart_ea.json,PASSED,0.00,2022-04-09 12:29:29,30.35416667,,,
16639,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_s1-32_rec_cart_ga.json,PASSED,0.00,2022-04-09 12:40:39,55.8125,,,
